Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"
BIN1	"AMPH2, AMPHL, SH3P9"	ENSG00000136717	"Bridging integrator 1"	O00499	2	127048027-127107288	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Differentiation, Endocytosis, Host-virus interaction"	"Developmental protein"	"Disease variant"
ERCC6L	"FLJ20105, PICH, RAD26L"	ENSG00000186871	"ERCC excision repair 6 like, spindle assembly checkpoint helicase"	Q2NKX8	X	72204657-72239027	"Enzymes, Predicted intracellular proteins"	"Cell cycle, Cell division, Mitosis"	"DNA-binding, Helicase, Hydrolase"	
OGFR	7-60	ENSG00000060491	"Opioid growth factor receptor"	Q9NZT2	20	62804835-62814000	"Predicted intracellular proteins"	"Growth regulation"	Receptor	
RNF43	"DKFZp781H0392, FLJ20315, URCC"	ENSG00000108375	"Ring finger protein 43"	Q68DV7	17	58353676-58417595	"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins"	"Ubl conjugation pathway, Wnt signaling pathway"	"Developmental protein, Transferase"	"Cancer-related genes"
RTCB	"C22orf28, FAAP, HSPC117"	ENSG00000100220	"RNA 2',3'-cyclic phosphate and 5'-OH ligase"	Q9Y3I0	22	32387582-32412248	"Enzymes, Essential proteins, Predicted intracellular proteins"	"tRNA processing"	Ligase	
SPRR3		ENSG00000163209	"Small proline rich protein 3"	Q9UBC9	1	153001747-153003856	"Cancer-related genes, Predicted intracellular proteins"	Keratinization		"Cancer-related genes"
TGM3	TGE	ENSG00000125780	"Transglutaminase 3"	Q08188	20	2296001-2341079	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	Keratinization	"Acyltransferase, Transferase"	
WASHC4	"KIAA1033, SWIP"	ENSG00000136051	"WASH complex subunit 4"	Q2M389	12	105107324-105169130	"Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters"	"Protein transport, Transport"		"Disease variant, Intellectual disability"
CC2D1B	"Freud-2, KIAA1836, Lgd1"	ENSG00000154222	"Coiled-coil and C2 domain containing 1B"	Q5T0F9	1	52345723-52366205	"Predicted intracellular proteins"	"Transcription, Transcription regulation"		
DST	"BP240, BPA, BPAG1, CATX-15, FLJ13425, FLJ21489, FLJ30627, FLJ32235, KIAA0728, MACF2"	ENSG00000151914	Dystonin	Q03001	6	56457987-56954830	"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"Cell adhesion"	"Actin-binding, Muscle protein"	"Cancer-related genes, Epidermolysis bullosa, Neurodegeneration, Neuropathy"
EBP	"CDPX2, CHO2, CPX, CPXD"	ENSG00000147155	"EBP cholestenol delta-isomerase"	Q15125	X	48521799-48528716	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins"	"Cholesterol biosynthesis, Cholesterol metabolism, Lipid biosynthesis, Lipid metabolism, Steroid biosynthesis, Steroid metabolism, Sterol biosynthesis, Sterol metabolism"	"Hydrolase, Isomerase"	"Cataract, Disease variant, Dwarfism, Ichthyosis"
IST1	"CHMP8, KIAA0174"	ENSG00000182149	"IST1 factor associated with ESCRT-III"	P53990	16	71845996-71931199	"Plasma proteins, Predicted intracellular proteins"	"Cell cycle, Cell division"		
KAZN	"C1orf196, FLJ43806, KAZRIN, KIAA1026"	ENSG00000189337	"Kazrin, periplakin interacting protein"	Q674X7	1	13892792-15118043	"Predicted intracellular proteins"	Keratinization		
GPX4	"MCSP, PHGPx"	ENSG00000167468	"Glutathione peroxidase 4"	P36969	19	1103982-1106791	"Disease related genes, Enzymes, Essential proteins, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Lipid metabolism"	"Developmental protein, Oxidoreductase, Peroxidase"	Dwarfism
HDAC3	"HD3, KDAC3, RPD3, RPD3-2"	ENSG00000171720	"Histone deacetylase 3"	O15379	5	141620876-141636849	"Enzymes, Essential proteins, FDA approved drug targets, Predicted intracellular proteins"	"Biological rhythms, Host-virus interaction, Transcription, Transcription regulation"	"Chromatin regulator, Hydrolase, Repressor"	"FDA approved drug targets"
PPHLN1		ENSG00000134283	"Periphilin 1"	Q8NEY8	12	42238447-42459715	"Predicted intracellular proteins"	"Keratinization, Transcription, Transcription regulation"	Repressor	
TNMD	"BRICD4, ChM1L, myodulin, TEM, tendin"	ENSG00000000005	Tenomodulin	Q9H2S6	X	100584936-100599885	"Predicted membrane proteins"			
CACYBP	"S100A6BP, SIP"	ENSG00000116161	"Calcyclin binding protein"	Q9HB71	1	174999163-175012027	"Plasma proteins, Predicted intracellular proteins"	"Ubl conjugation pathway"		
MTOR	"FLJ44809, FRAP, FRAP1, FRAP2, RAFT1, RAPT1"	ENSG00000198793	"Mechanistic target of rapamycin kinase"	P42345	1	11106535-11262556	"Cancer-related genes, Disease related genes, Enzymes, Essential proteins, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins"		"Kinase, Serine/threonine-protein kinase, Transferase"	"Cancer-related genes, Disease variant, Epilepsy, FDA approved drug targets, Intellectual disability"
NAPEPLD	"C7orf18, FMP30, NAPE-PLD"	ENSG00000161048	"N-acyl phosphatidylethanolamine phospholipase D"	Q6IQ20	7	103099776-103149560	"Enzymes, Predicted intracellular proteins"	"Lipid degradation, Lipid metabolism, Phospholipid degradation, Phospholipid metabolism"	Hydrolase	
SORL1	"C11orf32, gp250, LR11, LRP9, SorLA, SorLA-1"	ENSG00000137642	"Sortilin related receptor 1"	Q92673	11	121452314-121633763	"Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins, Transporters"	"Endocytosis, Transport"	Receptor	"Alzheimer disease, Amyloidosis, Disease variant, Neurodegeneration"
TGM1	"ICR2, LI, LI1, TGASE, TGK"	ENSG00000092295	"Transglutaminase 1"	P22735	14	24249114-24264432	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	Keratinization	"Acyltransferase, Transferase"	"Disease variant, Ichthyosis"
TUBB	"M40, MGC16435, OK/SW-cl.56, Tubb5"	ENSG00000196230	"Tubulin beta class I"	P07437	6	30717435-30725538	"Disease related genes, Essential proteins, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins"			"Disease variant, FDA approved drug targets"
ABCF1	"ABC50, EST123147"	ENSG00000204574	"ATP binding cassette subfamily F member 1"	Q8NE71	6	30571393-30597179	"Essential proteins, Plasma proteins, Predicted intracellular proteins, Transporters"		Activator	
AGPAT3	"LPAAT-gamma, LPAAT3, LPLAT3"	ENSG00000160216	"1-acylglycerol-3-phosphate O-acyltransferase 3"	Q9NRZ7	21	43865223-43987592	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Lipid biosynthesis, Lipid metabolism, Phospholipid biosynthesis, Phospholipid metabolism"	"Acyltransferase, Transferase"	
AGPAT5	"FLJ11210, LPAAT-e, LPAAT-epsilon, LPLAT5"	ENSG00000155189	"1-acylglycerol-3-phosphate O-acyltransferase 5"	Q9NUQ2	8	6708642-6761503	"Enzymes, Metabolic proteins, Predicted membrane proteins"	"Lipid biosynthesis, Lipid metabolism, Phospholipid biosynthesis, Phospholipid metabolism"	"Acyltransferase, Transferase"	
ANXA2	"ANX2, ANX2L4, CAL1H, LIP2, LPC2D"	ENSG00000182718	"Annexin A2"	P07355	15	60347134-60402883	"Cancer-related genes, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins, Transporters"	"Host-virus interaction"	RNA-binding	"Cancer-related genes, FDA approved drug targets"
BAX	BCL2L4	ENSG00000087088	"BCL2 associated X, apoptosis regulator"	Q07812	19	48954815-48961798	"Cancer-related genes, Human disease related genes, Predicted intracellular proteins, Transporters"	"Apoptosis, Host-virus interaction"		"Cancer-related genes, Tumor suppressor"
BCHE	"CHE1, CHE2, E1"	ENSG00000114200	Butyrylcholinesterase	P06276	3	165772904-165837462	"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"		"Hydrolase, Serine esterase"	"Disease variant, FDA approved drug targets"
BNIP1	"Nip1, SEC20"	ENSG00000113734	"BCL2 interacting protein 1"	Q12981	5	173144442-173164387	"Essential proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Apoptosis, ER-Golgi transport, Host-virus interaction, Transport"		
CALR3	"CRT2, CT93, FLJ25355, MGC26577"	ENSG00000269058	"Calreticulin 3"	Q96L12	19	16479061-16496167	"Plasma proteins, Predicted intracellular proteins"	"Differentiation, Spermatogenesis"	Chaperone	Cardiomyopathy
CDAN1	"CDA-I, CDAI"	ENSG00000140326	"Codanin 1"	Q8IWY9	15	42723544-42737128	"Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"			"Congenital dyserythropoietic anemia, Disease variant, Hereditary hemolytic anemia"
DHRS2	"HEP27, SDR25C1"	ENSG00000100867	"Dehydrogenase/reductase 2"	Q13268	14	23630115-23645639	"Metabolic proteins, Predicted intracellular proteins"		Oxidoreductase	
GABRB1		ENSG00000163288	"Gamma-aminobutyric acid type A receptor subunit beta1"	P18505	4	46993723-47426447	"Disease related genes, FDA approved drug targets, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins"	"Ion transport, Transport"	"Chloride channel, Ion channel, Ligand-gated ion channel, Receptor"	"Disease variant, Epilepsy, FDA approved drug targets"
GHDC	LGP1	ENSG00000167925	"GH3 domain containing"	Q8N2G8	17	42188799-42194532	"Plasma proteins, Predicted intracellular proteins"			
GNAZ		ENSG00000128266	"G protein subunit alpha z"	P19086	22	23070519-23125032	"Predicted intracellular proteins"		Transducer	
IRAG2	"JAW1, LRMP"	ENSG00000118308	"Inositol 1,4,5-triphosphate receptor associated 2"	Q12912	12	25004342-25108335	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Fertilization, Immunity"		
ITSN1	"ITSN, MGC134948, MGC134949, SH3D1A, SH3P17"	ENSG00000205726	"Intersectin 1"	Q15811	21	33642400-33899861	"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Endocytosis, Exocytosis, Host-virus interaction, Protein transport, Transport"		
LMO7	"FBX20, FBXO20, KIAA0858"	ENSG00000136153	"LIM domain 7"	Q8WWI1	13	75620434-75859870	"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"			
LRRC59	"FLJ21675, PRO1855"	ENSG00000108829	"Leucine rich repeat containing 59"	Q96AG4	17	50375059-50397523	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"			
MGST2	MGST-II	ENSG00000085871	"Microsomal glutathione S-transferase 2"	Q99735	4	139665768-139740745	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Leukotriene biosynthesis, Lipid metabolism"	"Lyase, Oxidoreductase, Transferase"	
MGST3	GST-III	ENSG00000143198	"Microsomal glutathione S-transferase 3"	O14880	1	165631213-165661796	"Enzymes, Metabolic proteins, Predicted membrane proteins"	"Lipid metabolism"	"Lyase, Oxidoreductase, Transferase"	
MTMR8	FLJ20126	ENSG00000102043	"Myotubularin related protein 8"	Q96EF0	X	64268081-64395452	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Lipid metabolism"	Hydrolase	
NUCB2	NEFA	ENSG00000070081	"Nucleobindin 2"	P80303	11	17208153-17349980	"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"		"DNA-binding, Guanine-nucleotide releasing factor"	"Cancer-related genes"
OIT3	"FLJ39116, LZP"	ENSG00000138315	"Oncoprotein induced transcript 3"	Q8WWZ8	10	72893584-72933036	"Plasma proteins, Predicted secreted proteins"			
PLA2G4C	cPLA2-gamma	ENSG00000105499	"Phospholipase A2 group IVC"	Q9UP65	19	48047843-48110817	"Enzymes, Metabolic proteins, Predicted intracellular proteins, RAS pathway related proteins"	"Host-virus interaction, Lipid metabolism, Phospholipid metabolism"	"Hydrolase, Transferase"	
PLAAT1	"A-C1, H-REV107, HRASLS, HRASLS1, PLA/AT1, PLAAT-1"	ENSG00000127252	"Phospholipase A and acyltransferase 1"	Q9HDD0	3	193241128-193277738	"Enzymes, Predicted membrane proteins"	"Lipid degradation, Lipid metabolism"	"Hydrolase, Transferase"	
POLR2M	"Gdown, Gdown1, GRINL1A"	ENSG00000255529	"RNA polymerase II subunit M"	"P0CAP2, Q6EEV4"	15	57706695-57782762	"Essential proteins, Predicted intracellular proteins, RNA polymerase related proteins"	Transcription		
RAC2	EN-7	ENSG00000128340	"Rac family small GTPase 2"	P15153	22	37225270-37259594	"Disease related genes, Human disease related genes, Predicted intracellular proteins, RAS pathway related proteins"		Hydrolase	"Disease variant"
RGS7		ENSG00000182901	"Regulator of G protein signaling 7"	P49802	1	240767636-241357374	"Plasma proteins, Predicted intracellular proteins"		"GTPase activation, Signal transduction inhibitor"	
ROGDI	"FLJ22386, RAV2, ROGD1"	ENSG00000067836	"Rogdi atypical leucine zipper"	Q9GZN7	16	4796968-4802880	"Disease related genes, Human disease related genes, Predicted intracellular proteins"			"Amelogenesis imperfecta, Epilepsy"
SCGB1A1	"CC10, CC16, CCSP, UGB"	ENSG00000149021	"Secretoglobin family 1A member 1"	P11684	11	62405103-62423195	"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"		"Phospholipase A2 inhibitor"	"Cancer-related genes"
SLC22A18	"BWR1A, BWSCR1A, IMPT1, ITM, ORCTL2, SLC22A1L, TSSC5"	ENSG00000110628	"Solute carrier family 22 member 18"	Q96BI1	11	2899721-2925246	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"			"Disease variant"
TOR2A	"FLJ14771, TORP1"	ENSG00000160404	"Torsin family 2 member A"	"Q5JU69, Q8N2E6"	9	127731524-127735313	"Predicted secreted proteins"		Hormone	
TOR3A	"ADIR, ADIR2, FLJ22345"	ENSG00000186283	"Torsin family 3 member A"	Q9H497	1	179082070-179098023	"Predicted intracellular proteins"			
TYRO3	"Brt, Dtk, Etk-2, Rek, RSE, Sky, Tif"	ENSG00000092445	"TYRO3 protein tyrosine kinase"	Q06418	15	41557675-41583589	"Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Cell adhesion, Host-virus interaction"	"Host cell receptor for virus entry, Kinase, Receptor, Transferase, Tyrosine-protein kinase"	"Cancer-related genes"
UBXN4	"KIAA0242, UBXD2, UBXDC1"	ENSG00000144224	"UBX domain protein 4"	Q92575	2	135741734-135785056	"Predicted intracellular proteins, Predicted membrane proteins"	"Unfolded protein response"		
VRK2		ENSG00000028116	"VRK serine/threonine kinase 2"	Q86Y07	2	57907629-58159920	"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"	"Host-virus interaction"	"Kinase, Serine/threonine-protein kinase, Transferase"	
CASP14	"MGC119078, MGC119079, MICE"	ENSG00000105141	"Caspase 14"	P31944	19	15049480-15058293	"Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	Differentiation	"Hydrolase, Protease, Thiol protease"	Ichthyosis
PKP1	B6P	ENSG00000081277	"Plakophilin 1"	Q13835	1	201283452-201332993	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"Cell adhesion"	"Developmental protein, DNA-binding, RNA-binding"	"Ectodermal dysplasia"
SPRR1A		ENSG00000169474	"Small proline rich protein 1A"	P35321	1	152984081-152985814	"Predicted intracellular proteins"	Keratinization		
EVPLL		ENSG00000214860	"Envoplakin like"	A8MZ36	17	18377778-18389647	"Predicted intracellular proteins"			
NCL	"C23, Nsr1"	ENSG00000115053	Nucleolin	P19338	2	231453531-231483641	"Essential proteins, Plasma proteins, Predicted intracellular proteins"		"DNA-binding, RNA-binding"	
RPTN	FLJ39117	ENSG00000215853	Repetin	Q6XPR3	1	152153595-152159228	"Predicted intracellular proteins, Predicted secreted proteins"			
FLG2	IFPS	ENSG00000143520	"Filaggrin 2"	Q5D862	1	152348735-152360006	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"			"Disease variant"
SERPINB5	"maspin, PI5"	ENSG00000206075	"Serpin family B member 5"	P36952	18	63476958-63505085	"Plasma proteins, Predicted intracellular proteins"			
STX2	"EPIM, EPM, STX2A, STX2B, STX2C"	ENSG00000111450	"Syntaxin 2"	P32856	12	130789600-130839254	"Cancer-related genes, Predicted intracellular proteins, Predicted membrane proteins"			"Cancer-related genes"
DSG3	CDHF6	ENSG00000134757	"Desmoglein 3"	P32926	18	31447741-31478702	"Disease related genes, Plasma proteins, Predicted membrane proteins"	"Cell adhesion"		
KLK7	"PRSS6, SCCE"	ENSG00000169035	"Kallikrein related peptidase 7"	P49862	19	50976468-50984099	"Cancer-related genes, Enzymes, Predicted intracellular proteins, Predicted secreted proteins"		"Hydrolase, Protease, Serine protease"	"Cancer-related genes"
KRT77	KRT1B	ENSG00000189182	"Keratin 77"	Q7Z794	12	52689626-52703524	"Plasma proteins, Predicted intracellular proteins"			
FLVCR2	"C14orf58, CCT, FLJ20371, MFSD7C, SLC49A2"	ENSG00000119686	"FLVCR heme transporter 2"	Q9UPI3	14	75578620-75663214	"Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	Transport		"Disease variant"
FURIN	"FUR, PACE, PCSK3, SPC1"	ENSG00000140564	"Furin, paired basic amino acid cleaving enzyme"	P09958	15	90868588-90883564	"Enzymes, Plasma proteins, Predicted membrane proteins"	"Host-virus interaction"	"Heparin-binding, Hydrolase, Protease, Serine protease"	
KLK6	"Bssp, Klk7, neurosin, PRSS18, PRSS9"	ENSG00000167755	"Kallikrein related peptidase 6"	Q92876	19	50958631-50969673	"Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"		"Hydrolase, Protease, Serine protease"	"Cancer-related genes"
SERPINB2	"HsT1201, PAI-2, PAI2, PLANH2"	ENSG00000197632	"Serpin family B member 2"	P05120	18	63871692-63903888	"Cancer-related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins"	"Plasminogen activation"	"Protease inhibitor, Serine protease inhibitor"	"Cancer-related genes, FDA approved drug targets"
DSG4	"CDHF13, LAH"	ENSG00000175065	"Desmoglein 4"	Q86SJ6	18	31376777-31414912	"Disease related genes, Human disease related genes, Predicted membrane proteins"	"Cell adhesion"		"Disease variant, Hypotrichosis"
DSP	"DPI, DPII, KPPS2, PPKS2"	ENSG00000096696	Desmoplakin	P15924	6	7541617-7586714	"Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters"			"Cardiomyopathy, Disease variant, Epidermolysis bullosa, Palmoplantar keratoderma"
HADHB	MTPB	ENSG00000138029	"Hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta"	P55084	2	26243170-26290465	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Fatty acid metabolism, Lipid metabolism"	"Acyltransferase, Transferase"	"Disease variant"
PKP2		ENSG00000057294	"Plakophilin 2"	Q99959	12	32790745-32896777	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"Cell adhesion"		"Cardiomyopathy, Disease variant"
VPS28		ENSG00000160948	"VPS28 subunit of ESCRT-I"	Q9UK41	8	144423601-144428563	"Essential proteins, Predicted intracellular proteins"	"Protein transport, Transport"		
